Compound number (#)	RT (min)	Scan number (#)	Area (Ab*s)	Baseline Heigth (Ab)	Absolute Heigth (Ab)	Peak Width 50% (min)	Hit Number	Hit Name	Quality	Mol Weight (amu)	CAS Number	Library	Entry Number Library
							2	Butanenitrile, 2,3-dioxo-, dioxime, O,O'-diacetyl- $$ (2Z,3E)-2,3-Bis[(acetyloxy)imino]butanenitrile #	28	211,059	339246-62-7	C:\Database\W10N11_Full.L	231994
							3	2H-Pyran-2,3-diol, tetrahydro-, diacetate, trans- $$ 2-(Acetyloxy)tetrahydro-2H-pyran-3-yl acetate, trans-	28	202,084	003021-94-1	C:\Database\W10N11_Full.L	203230
5	2,039	389	706539	19654	24527	0,048	1	Silanediol, dimethyl- $$ Dihydroxydimethylsilane $$ Dimethylsilanediol $$ Dimethylsilanediol (computer-generated name)	78	92,029	001066-42-8	C:\Database\W10N11_Full.L	7431
							2	Isopropoxycarbamic acid, ethyl ester	40	147,09	2000066-29-1	C:\Database\W10N11_Full.L	66291
							3	Isopropoxycarbamic acid, ethyl ester	40	147,09	2000066-29-2	C:\Database\W10N11_Full.L	66292
6	3,073	606	17525049	933802	936377	0,029	1	Cyclotrisiloxane, hexamethyl- (CAS) $$ 1,1,3,3,5,5-HEXAMETHYL-CYCLOHEXASILOXANE $$ Hexamethylcyclotrisiloxane $$ HEXAMETHYL-CYCLOTRISILOXANE $$ Dimethylsiloxane cyclic trimer $$ CH7260 $$ 2,2,4,4,6,6-Hexamethyl-1,3,5,2,4,6-trioxatrisilinane	90	222,056	000541-05-9	C:\Database\W10N11_Full.L	264636
							2	Arsenous acid, tris(trimethylsilyl) ester	83	342,048	055429-29-3	C:\Database\W10N11_Full.L	634220
							3	Tetrasiloxane, decamethyl- $$ 1,1,1,3,3,5,5,7,7,7-DECAMETHYLTETRASILOXANE $$ Decamethyltetrasiloxane $$ KF 96L1.5 $$ Trimethylsilyl)-{[methyl(trimethylsilyloxy)silyloxy]oxytrimethylsilane} $$ tris[(Trimethylsilyl)oxy]-methylsilane $$ CD3780 $$ D3780	83	310,127	000141-62-8	C:\Database\W10N11_Full.L	544673
7	4,468	899	328558	13717	15759	0,032	1	Oxime-, methoxy-phenyl- $$ (Z)-N-hydroxybenzenecarboximidic acid methyl ester $$ METHOXY, PHENYL- ,OXIME $$ METHOXY, PHENYL- ,OXIME_ $$ Methyl (Z)-Benzohydroximate $$ methyl (Z)-N-hydroxybenzenecarboximidate $$ METHYL N-HYDROXYBENZENECARBOXIMIDOATE	78	151,063	2000073-80-5	C:\Database\W10N11_Full.L	73805
							2	Oxime-, methoxy-phenyl-_ $$ Methyl N-hydroxybenzenecarboximidoate #	78	151,063	2000073-80-6	C:\Database\W10N11_Full.L	73806
							3	2-Amino-5-methylbenzoic acid $$ 5-Methylanthranilic acid $$ Benzoic acid, 2-amino-5-methyl- $$ m-Toluic acid, 6-amino-	64	151,063	002941-78-8	C:\Database\W10N11_Full.L	73869
8	6,058	1233	635951	33132	34917	0,03	1	2(10)-Pinene, (1S,5S)-(-)- $$ Bicyclo[3.1.1]heptane, 6,6-dimethyl-2-methylene-, (1S)- $$ 6,6-DIMETHYL-2-METHYLENEBICYCLO[3.1.1]HEPTANE $$ (+)-.beta.-PINEN $$ (-)-.beta.-PINEN $$ (-)-2(10)-PINENE $$ (-)-NOPINENE $$ (-)-PIN-2(10)-ENE $$ .beta.-PIPENE	97	136,125	018172-67-3	C:\Database\W10N11_Full.L	48725
							2	2(10)-Pinene $$ Bicyclo[3.1.1]heptane, 6,6-dimethyl-2-methylene- $$ (+)-.beta.-PINEN $$ (-)-.beta.-PINEN $$ (-)-PIN-2(10)-ENE $$ (1)-6,6-DIMETHYL-2-METHYLENEBICYCLO(3.1.1)HEPTANE $$ (1S)-(-)-.beta.-PINENE $$ .beta.-l-Pinene $$ .beta.-Pinene	96	136,125	000127-91-3	C:\Database\W10N11_Full.L	48702
							3	4(10)-Thujene $$ Bicyclo[3.1.0]hexane, 4-methylene-1-(1-methylethyl)- $$ (+)-Sabinene $$ (1S,5S)-1-Isopropyl-4-methylenebicyclo[3.1.0]hexane $$ (1S,5S)-Bicyclo[3.1.0]hexane, 4-methylene-1-(1-methylethyl)- $$ Sabenene $$ Sabinen $$ Sabinene	91	136,125	003387-41-5	C:\Database\W10N11_Full.L	48400
9	6,373	1299	1003174	53937	56232	0,029	1	1,6-Octadiene, 7-methyl-3-methylene- $$ 7-methyl-3-methylene-1,6-octa-diene $$ .beta.-myrcene $$ 2-ethenyl-6-methyl-1,5-hepta-diene (BAD name in Reed) $$ 2-ETHENYL-6-METHYL-1,5-HEPTADIENE $$ 2-Methyl-6-methylene-2,7-octadiene $$ b-Geraniolene	95	136,125	000123-35-3	C:\Database\W10N11_Full.L	48617
							2	2(10)-Pinene $$ Bicyclo[3.1.1]heptane, 6,6-dimethyl-2-methylene- $$ (+)-.beta.-PINEN $$ (-)-.beta.-PINEN $$ (-)-PIN-2(10)-ENE $$ (1)-6,6-DIMETHYL-2-METHYLENEBICYCLO(3.1.1)HEPTANE $$ (1S)-(-)-.beta.-PINENE $$ .beta.-l-Pinene $$ .beta.-Pinene	64	136,125	000127-91-3	C:\Database\W10N11_Full.L	48710
							3	4(10)-Thujene $$ Bicyclo[3.1.0]hexane, 4-methylene-1-(1-methylethyl)- $$ (+)-Sabinene $$ 1-Isopropyl-4-methylenebicyclo[3.1.0]hexane $$ 2-methylene-5-propan-2-ylbicyclo[3.1.0]hexane $$ 2-methylidene-5-propan-2-yl-bicyclo[3.1.0]hexane $$ Sabenene	60	136,125	003387-41-5	C:\Database\W10N11_Full.L	48383
10	6,558	1338	11040601	597838	600568	0,029	1	Cyclotetrasiloxane, octamethyl- $$ Oktamethylcyklotetrasiloxan $$ NUC Silicone VS 7207 $$ CO9810 $$ O9810 $$ Octamethyltetrasiloxane $$ 2,2,4,4,6,6,8,8-Octamethyl-1,3,5,7,2,4,6,8-tetraoxatetrasilocane # $$ Octamethylcyclotetrasiloxane	91	296,075	000556-67-2	C:\Database\W10N11_Full.L	501779
							2	1,1,3,3,5,5,7,7-Octamethyl-7-(2-methylpropoxy)tetrasiloxan-1-ol	74	370,148	2000699-64-2	C:\Database\W10N11_Full.L	699642
							3	Pentasiloxane, dodecamethyl- (CAS) $$ Dodecamethylpentasiloxane $$ DODECAMETHYL-PENTASILOXANE $$ 1,1,1,3,3,5,5,7,7,9,9,9-Dodecamethylpentasiloxane $$ 1,1,1,3,3,5,5,7,7,9,9,9-Dodecamethylpentasiloxane (computer-generated name) $$ BRN 1792965	64	384,146	000141-63-9	C:\Database\W10N11_Full.L	727553
11	6,92	1414	807499	43898	46341	0,028	1	7a-Methyl-1,2,5,6,7,7a-hexahydroinden-4-one $$ 7a-methyl-1,2,5,6,7,7a-hexahydro-4H-inden-4-one $$ 7a-methyl-2,5,6,7-tetrahydro-1H-inden-4-one	55	150,104	2000072-93-5	C:\Database\W10N11_Full.L	72935
							2	2-Cyclohexen-1-one, 2-(2-methyl-2-propenyl)- $$ 2-Cyclohexen-1-one, 2-(2-methylallyl)- $$ 2-(2-METHYL-2-PROPENYL)-2-CYCLOHEXEN-1-ONE $$ 2-(2-methylallyl)cyclohex-2-en-1-one $$ 2-(2-methylprop-2-enyl)-1-cyclohex-2-enone	46	150,104	018926-98-2	C:\Database\W10N11_Full.L	72889
							3	(E)-3-Methyl-4-propylidene-2-cyclohexen-1-one $$ (4E)-3-methyl-4-propylidene-1-cyclohex-2-enone $$ (4E)-3-methyl-4-propylidene-2-cyclohexen-1-one $$ (4E)-3-methyl-4-propylidene-cyclohex-2-en-1-one	43	150,104	2000072-70-1	C:\Database\W10N11_Full.L	72701
12	7,192	1471	4330378	248040	251796	0,027	1	D-Limonene $$ Cyclohexene, 1-methyl-4-(1-methylethenyl)-, (R)- $$ p-Mentha-1,8-diene, (R)-(+)- $$ (+)-(R)-Limonene $$ (+)-(4R)-Limonene $$ (+)-p-Mentha-1,8-diene $$ (+)-Limonene $$ (R)-(+)-Limonene $$ Carvene $$ D-(+)-Limonene $$ Limonene, (D)-	99	136,125	005989-27-5	C:\Database\W10N11_Full.L	48785
							2	Cyclohexene, 1-methyl-4-(1-methylethenyl)- $$ p-Mentha-1,8-diene $$ "inactive limonene" $$ $ (-)-LIMONENE $$ ''inactive limonene'' $$ (+)-(4R)-LIMONENE $$ (+)-(R)-LIMONENE $$ (+)-4-ISOPROPENYL-1-METHYLCYCLOHEXENE $$ (+)-LIMONEN $$ (+)-LIMONENE	98	136,125	000138-86-3	C:\Database\W10N11_Full.L	48769
							3	Cyclohexene, 1-methyl-4-(1-methylethenyl)-, (S)- $$ p-Mentha-1,8-diene, (S)-(-)- $$ 4-ISOPROPENYL-1-METHYL-1-CYCLOHEXENE $$ "inactive limonene" $$ $ (-)-LIMONENE $$ (+)-(4R)-LIMONENE $$ (+)-(R)-LIMONENE $$ (+)-4-ISOPROPENYL-1-METHYLCYCLOHEXENE	98	136,125	005989-54-8	C:\Database\W10N11_Full.L	48774
13	7,392	1513	5231983	314690	322053	0,026	1	1,3,7-Octatriene, 3,7-dimethyl-, (E)- $$ (3E)-3,7-DIMETHYL-1,3,7-OCTATRIENE $$ (3E)-3,7-dimethylocta-1,3,7-triene $$ .alpha.-OCIMENE $$ 1,3,7-OCTATRIENE, 3,7-DIMETHYL- $$ 2,6-DIMETHYL-1,5,7-OCTATRIENE $$ 3,7-DIMETHYL-1,3,7-OCTATRIENE $$ CIS-OCIMENE	97	136,125	006874-10-8	C:\Database\W10N11_Full.L	48752
							2	1,3,6-Octatriene, 3,7-dimethyl-, (E)- $$ (3E)-3,7-DIMETHYL-1,3,6-OCTATRIENE $$ (3E)-3,7-dimethylocta-1,3,6-triene $$ (E)-3,7-DIMETHYLOCTA-1,3,6-TRIENE $$ (E)-Ocimene $$ - $$ .beta. OCIMENE Y $$ .beta.-(E)-OCIMENE $$ .beta.-CIS-OCIMENE $$ OCIMENE-X	96	136,125	003779-61-1	C:\Database\W10N11_Full.L	48230
							3	2-Pinene $$ Bicyclo[3.1.1]hept-2-ene, 2,6,6-trimethyl- $$ (-)-.alpha.-PINEN $$ (-)-PIN-2(3)-ENE $$ (1R)-2,6,6-Trimethylbicyclo[3.1.1]hept-2-ene $$ (1S)-(-)-.alpha.-PINENE $$ (1S)-2,6,6-TRIMETHYLBICYCLO[3.1.1]HEPT-2-ENE $$ (1S,5S)-(-)-.alpha.-PINENE	91	136,125	000080-56-8	C:\Database\W10N11_Full.L	48155
14	7,62	1561	220501249	11943962	11954552	0,029	1	1,3,6-Octatriene, 3,7-dimethyl-, (E)- $$ (3E)-3,7-DIMETHYL-1,3,6-OCTATRIENE $$ (3E)-3,7-dimethylocta-1,3,6-triene $$ (E)-3,7-DIMETHYLOCTA-1,3,6-TRIENE $$ (E)-Ocimene $$ - $$ .beta. OCIMENE Y $$ .beta.-(E)-OCIMENE $$ .beta.-CIS-OCIMENE $$ OCIMENE-X	98	136,125	003779-61-1	C:\Database\W10N11_Full.L	48227
							2	1,3,6-Octatriene, 3,7-dimethyl-, (Z)- $$ .beta.-cis-Ocimene $$ cis-.beta.-Ocimene $$ cis-3,7-Dimethyl-1,3,6-octatriene $$ Ocimene, cis-.beta.- $$ (Z)-Ocimene $$ cis-Ocimene $$ (3Z)-3,7-Dimethyl-1,3,6-octatriene $$ .beta.-Ocimene, (Z)-	96	136,125	003338-55-4	C:\Database\W10N11_Full.L	48238
							3	.beta.-Ocimene $$ 1,3,6-Octatriene, 3,7-dimethyl- $$ Ocimene $$ 3,7-Dimethyl-1,3,6-octatriene $$ beta-Ocimene	96	136,125	013877-91-3	C:\Database\W10N11_Full.L	48225
15	8,049	1651	746635436	19967032	19988801	0,048	1	Acetophenone $$ Ethanone, 1-phenyl- $$ Acetophenon $$ Benzoyl methide $$ Hypnon $$ Hypnone $$ Methyl phenyl ketone $$ Phenyl methyl ketone $$ 1-Phenylethanone $$ Acetylbenzene $$ 1-Phenyl-1-ethanone $$ Ketone, methyl phenyl- $$ USAF EK-496 $$ Dymex	97	120,058	000098-86-2	C:\Database\W10N11_Full.L	27500
							2	1-Propanone, 3-chloro-1-phenyl- $$ .beta.-Chloropropiophenone $$ .omega.-Chloropropiophenone $$ .beta.-Chloroethyl phenyl ketone $$ Propiophenone, 3-chloro- $$ 2-Chloroethyl phenyl ketone $$ 3-Chloropropanophenone $$ 3-Chloropropiophenone	72	168,034	000936-59-4	C:\Database\W10N11_Full.L	112368
							3	1,2-Propanedione, 1-phenyl- $$ Acetylbenzoyl $$ Benzoyl methyl ketone $$ Benzoylacetyl $$ Methylphenylglyoxal $$ Phenylmethyldiketone $$ Pyruvophenone $$ 1-Phenyl-1,2-propanedione $$ 3-Phenyl-2,3-propanedione $$ Methyl phenyl diketone	72	148,052	000579-07-7	C:\Database\W10N11_Full.L	67940
16	8,597	1766	398621937	17191706	17207213	0,032	1	Benzoic acid, methyl ester $$ Methyl benzoate $$ Clorius $$ Methyl benzenecarboxylate $$ Niobe oil $$ Oil of Niobe $$ Essence of niobe $$ Methylester kyseliny benzoove $$ Oxidate le $$ UN 2938 $$ Methyl ester of benzoic acid $$ Oniobe oil	97	136,052	000093-58-3	C:\Database\W10N11_Full.L	46843
							2	Benzoic acid, hydrazide $$ Benzhydrazide $$ Benzohydrazide $$ Benzohydrazine $$ Benzoic hydrazide $$ Benzoyl hydrazide $$ Benzoylhydrazine $$ Hydrazine, benzoyl- $$ NSC 644 $$ Hydrazid kyseliny benzoove $$ Benzenecarboxylic acid hydrazide	87	136,064	000613-94-5	C:\Database\W10N11_Full.L	46615
17	8,663	1780	90617616	5561064	5576231	0,026	1	LINALOOL L $$ (+-)-LINALOOL $$ (.+-.)-LINALOOL $$ (1)-3,7-DIMETHYL-1,6-OCTADIEN-3-OL $$ .beta.-LINALOOL $$ 1,6-OCTADIEN-3-OL, 3,7-DIMETHYL-, (-)- $$ 1,6-OCTADIEN-3-OL, 3,7-DIMETHYL-, (.+-.)- $$ 1,6-OCTADIEN-3-OL, 3,7-DIMETHYL-, (.+/-.)- $$ LINALOL	97	154,136	000078-70-6	C:\Database\W10N11_Full.L	81917
							2	1,4-Cyclohexadiene, 1-methyl-4-(1-methylethyl)- $$ p-Mentha-1,4-diene $$ 1-ISOPROPYL-4-METHYL-1,4-CYCLOHEXADIENE $$ .gamma.-Terpinen $$ .gamma.-Terpinene $$ .gamma.-Terpinene[1-isopropyl-4-methyl-1,4-cyclohexadiene] $$ 1,4-p-Menthadiene $$ Crithmene	87	136,125	000099-85-4	C:\Database\W10N11_Full.L	48875
							3	LINALYL ACETATE $$ (1)-1,5-DIMETHYL-1-VINYLHEX-4-ENYL ACETATE $$ (1,5-dimethyl-1-vinyl-hex-4-enyl) acetate $$ .+-.-LINALYL ACETATE $$ 1,5-DIMETHYL-1-VINYL-4-HEXENYL ACETATE $$ 1,6-OCTADIEN-3-OL, 3,7-DIMETHYL-, ACETATE $$ ACETIC ACID LINALOOL ESTER	58	196,146	000115-95-7	C:\Database\W10N11_Full.L	188697
18	8,944	1839	960285	39547	53322	0,036	1	2H-1,3,4-Benzotriazepine-2-thione, 1,3-dihydro-3-methyl-5-phenyl- $$ 3-METHYL-5-PHENYL-1,3-DIHYDRO-2H-1,3,4-BENZOTRIAZEPINE-2-THIONE $$ 2-thio-3-methyl-5-phenyl-benzo[f]1,3,4-triazacyclohepta-4-ene $$ 2-THIOXO-3-METHYL-5-PHENYL-1,3,4-BENZOTRIAZEPINE	38	267,083	116089-25-9	C:\Database\W10N11_Full.L	412098
							2	1H-Trindene, 2,3,4,5,6,7,8,9-octahydro-1,1,4,4,9,9-hexamethyl- $$ 1,1,4,4,9,9-Hexamethyl-2,3,4,5,6,7,8,9-octahydro-1H-cyclopenta[e]as-indacene #	38	282,235	055682-87-6	C:\Database\W10N11_Full.L	461783
							3	5H-Naphtho[2,3-c]carbazole $$ 1H-NAPHTHO[2,3-C]CARBAZOLE $$ NAPHTHO[2,3-C]CARBAZOLE	38	267,105	000198-96-9	C:\Database\W10N11_Full.L	412987
19	9,211	1895	1008842	35856	48293	0,038	1	2,4,6-Octatriene, 2,6-dimethyl-, (E,Z)- $$ (4E,6Z)-2,6-Dimethyl-2,4,6-octatriene $$ (4E,6Z)-allo-Ocimene $$ Neo-allo-ocimene $$ (E,Z)-2,6-Dimethylocta-2,4,6-triene $$ 4-trans,6-cis-Allocimene	96	136,125	007216-56-0	C:\Database\W10N11_Full.L	48134
							2	NEO-ALLO-OCIMENE $$ (4E,6E)-2,6-DIMETHYL-2,4,6-OCTATRIENE $$ (4E,6E)-2,6-dimethylocta-2,4,6-triene $$ (E,E)-2,6-DIMETHYL-2,4,6-OCTATRIENE $$ 2,4,6-OCTATRIENE, 2,6-DIMETHYL- $$ 2,6-DIMETHYL-2,4,6-OCTATRIENE $$ 2,6-DIMETHYLOCTA-2,4,6-TRIENE $$ Ocimene	95	136,125	000673-84-7	C:\Database\W10N11_Full.L	48147
							3	1,3,6-OCTATRIENE, 3,7-DIMETHYL- $$ (4E,6Z)-2,6-DIMETHYL-2,4,6-OCTATRIENE $$ (4E,6Z)-2,6-dimethylocta-2,4,6-triene $$ (4E,6Z)-ALLOCIMENE $$ (4E,6Z)-ALLOOCIMENE $$ (E,Z)-2,6-DIMETHYLOCTA-2,4,6-TRIENE $$ .beta.-OCIMENE $$ .beta.-OCIMENE-X $$ OCIMENE	94	136,125	013877-91-3	C:\Database\W10N11_Full.L	48128
20	9,463	1948	298993	13801	25855	0,031	1	Benzoic acid, methyl ester $$ BENZOESAEURE, METHYLESTER $$ benzoesaure-methylester $$ Clorius $$ Essence of niobe $$ METHOXYCARBONYL-BENZENE $$ Methyl benzenecarboxylate $$ Methyl benzoate $$ Methyl ester of benzoic acid $$ methyl phenylcarboxylate	38	136,052	000093-58-3	C:\Database\W10N11_Full.L	46833
							2	1-phenyl-ethanone $$ acetophenone1-phenyl-ethanone $$ acetophenone1-phenyl-ethanone aceto-benzene acetyl-benzenebenzoyl methide hypnonemethyl phenyl ketone $$ Ethanone, 1-phenyl- $$ .alpha.-Acetophenone $$ 1-Phenyl-1-ethanone $$ aceto-benzene	30	120,058	000098-86-2	C:\Database\W10N11_Full.L	27502
							3	2-(2-Oxo-2-phenyl-ethyl)-malononitrile	27	184,064	2000154-51-9	C:\Database\W10N11_Full.L	154519
21	9,701	1998	4730095	295974	307685	0,025	1	Cyclopentasiloxane, decamethyl- $$ Decamethylcyclopentasiloxane $$ Dimethylsiloxane pentamer $$ Dekamethylcyklopentasiloxan $$ CD3770 $$ D3770 $$ Decamethylcylopentasiloxane	95	370,094	000541-02-6	C:\Database\W10N11_Full.L	699587
							2	3,4-Dihydroxymandelic acid, ethyl ester, tri-TMS $$ Ethyl (3,4-bis[(trimethylsilyl)oxy]phenyl)[(trimethylsilyl)oxy]acetate #	58	428,187	2000798-12-2	C:\Database\W10N11_Full.L	798122
							3	3,4-Dihydroxymandelic acid, ethyl ester, tri-TMS $$ Ethyl (3,4-bis[(trimethylsilyl)oxy]phenyl)[(trimethylsilyl)oxy]acetate $$ Ethyl (3,4-bis[(trimethylsilyl)oxy]phenyl)[(trimethylsilyl)oxy]acetate (computer-generated name)	58	428,187	2000798-12-1	C:\Database\W10N11_Full.L	798121
22	9,759	2010	461813	25561	37266	0,025	1	Madolin-I $$ (8R,9R)-8-isopropenyl-5-methylene-10-oxabicyclo[7.2.1]dodec-1(12)-ene-4,11-dione	64	246,126	2000344-74-8	C:\Database\W10N11_Full.L	344748
							2	1-Butyne, 3-methyl- $$ Isopentyne $$ Isopropyl acetylene $$ 2-Methyl-3-butyne $$ 3-Methyl-1-butyne $$ 3-Methylbutyne $$ (CH3)2CHC.$.CH	45	68,063	000598-23-2	C:\Database\W10N11_Full.L	1576
							3	6-DEUTERO-8-METHYL-TETRAZOLO(1,5-B)PYRIDAZINE $$ 6-deuterio-8-methyl-tetrazolo[1,5-b]pyridazine $$ 6-deuterio-8-methyl-[1,2,3,4]tetrazolo[1,5-b]pyridazine	45	136,061	028593-28-4	C:\Database\W10N11_Full.L	45269
23	9,835	2026	23882879	1333809	1345507	0,027	1	ETHANONE, 1-(4-HYDROXYPHENYL)- $$ 1-(4-HYDROXY-PHENYL)-ETHANONE $$ 4'-HYDROXYACETOPHENONE $$ 4-ACETOPHENOL $$ 4-ACETYLPHENOL $$ 4-HYDROKSYACETOFENOL $$ 4-hydroxy-acetophenone $$ 4-HYDROXYACETOPHENON $$ 4-HYDROXYPHENYL METHYL KETONE $$ P-ACETYLPHENOL	95	136,052	000099-93-4	C:\Database\W10N11_Full.L	46874
							2	Acetophenone, 2'-hydroxy- $$ Ethanone, 1-(2-hydroxyphenyl)- $$ 1-(2-HYDROXYPHENYL)-ETHANONE $$ 1-hydroxy-2-acetylbenzene $$ 2'-Hydroxyacetophenone $$ 2-Acetylphenol $$ 2-HYDROXY ACETOPHENONE $$ 2-HYDROXYACETOPHENON $$ 2-HYDROXYPHENYL METHYL KETONE	91	136,052	000118-93-4	C:\Database\W10N11_Full.L	46744
24	9,992	2059	4832935	250382	262064	0,029	1	Benzoic acid, ethyl ester $$ Ethyl benzenecarboxylate $$ Ethyl benzoate $$ Benzoic ether $$ Essence of niobe $$ Ethylester kyseliny benzoove	94	150,068	000093-89-0	C:\Database\W10N11_Full.L	71516
							2	(+)-Dibenzoyl-L-tartaric acid anhydride $$ 4-(Benzoyloxy)-2,5-dioxotetrahydro-3-furanyl benzoate #	53	340,058	064339-95-3	C:\Database\W10N11_Full.L	629942
							3	Acetoxime benzoate $$ Acetone o-benzoyloxime #	53	177,079	000942-89-2	C:\Database\W10N11_Full.L	134922
25	10,187	2100	383943	20803	32466	0,026	1	2-Furanacetaldehyde, .alpha.-isopropylidene- $$ 2-(2-FURYL)-3-METHYL-2-BUTENAL $$ 2-(2-furanyl)-3-methyl-2-butenal $$ 2-(2-furyl)-3-methyl-but-2-enal $$ 2-(furan-2-yl)-3-methyl-but-2-enal	38	150,068	031681-28-4	C:\Database\W10N11_Full.L	71459
							2	1-Octen-4-yne	35	108,094	024612-83-7	C:\Database\W10N11_Full.L	16289
							3	3-Methyl-cis-3a,4,7,7a-tetrahydroindan $$ 1-Methyl-2,3,3a,4,7,7a-hexahydro-1H-indene #	30	136,125	2000048-51-1	C:\Database\W10N11_Full.L	48511
26	10,301	2124	999765	40043	51694	0,035	1	Succinic acid, cis-hex-3-enyl decyl ester	43	340,261	2000631-08-8	C:\Database\W10N11_Full.L	631088
							2	Hexanoic acid, 3-hexenyl ester, (Z)- $$ (3Z)-3-HEXENYL HEXANOATE $$ 3-HEXENYL HEXANOATE $$ 3-HEXENYL HEXANOATE, (Z)- $$ 3-HEXENYL HEXANOATE, CIS- $$ CIS-.beta.-HEXENYL CAPROATE $$ CIS-3-HEXEN-1-YL CAPROATE $$ CIS-3-HEXENYL CAPROATE $$ AI3-35959	38	198,162	031501-11-8	C:\Database\W10N11_Full.L	194358
							3	2-Cyclopenten-1-one, 4-(3-butenyl)- $$ 4-(3-butenyl)-2-cyclopenten-1-one $$ 4-(3-BUTENYL)-2-CYCLOPENTENONE	38	136,089	077407-18-2	C:\Database\W10N11_Full.L	47700
